sample-id,score,group
ERR1075146,0.7258,OTHER
ERR1075147,0.6735,NORMAL
ERR1075152,0.688,NORMAL
ERR1075154,0.6355,NORMAL
ERR1075157,0.5137,NORMAL
ERR1075166,0.6034,NORMAL
ERR1075167,0.7301,OTHER
ERR1075168,0.7022,NORMAL
ERR1075172,0.6558,NORMAL
ERR1075173,0.814,OTHER
ERR1075177,0.7851,OTHER
ERR1075182,0.663,NORMAL
ERR1075183,0.9517,DEVIANT
ERR1075184,0.5903,NORMAL
ERR1075186,0.8556,OTHER
ERR1075188,0.7028,NORMAL
ERR1075192,0.8117,OTHER
ERR1075195,0.744,OTHER
ERR1075197,0.681,NORMAL
ERR1075203,0.66,NORMAL
ERR1075205,0.807,OTHER
ERR1075206,0.6323,NORMAL
ERR1075209,0.6679,NORMAL
ERR1075210,0.7146,NORMAL
ERR1075211,0.8864,OTHER
ERR1075214,0.779,OTHER
ERR1075217,0.7415,OTHER
ERR1075224,0.7165,NORMAL
ERR1075235,0.6905,NORMAL
ERR1075237,0.6589,NORMAL
ERR1075244,0.7666,OTHER
ERR1075248,0.7307,OTHER
ERR1075252,0.7372,OTHER
ERR1075253,0.6094,NORMAL
ERR1075257,0.6305,NORMAL
ERR1075258,0.6547,NORMAL
ERR1075266,0.7722,OTHER
ERR1075277,0.7109,NORMAL
ERR1075278,0.8061,OTHER
ERR1075279,0.6673,NORMAL
ERR1075280,0.6417,NORMAL
ERR1075282,0.8347,OTHER
ERR1075283,0.7346,OTHER
ERR1075285,0.7057,NORMAL
ERR1075293,0.8351,OTHER
ERR1075294,0.7216,NORMAL
ERR1075295,0.7479,OTHER
ERR1075297,0.7346,OTHER
ERR1075298,0.7566,OTHER
ERR1075301,0.7204,NORMAL
ERR1075303,0.8259,OTHER
ERR1075309,0.6941,NORMAL
ERR1075312,0.7692,OTHER
ERR1075316,0.7422,OTHER
ERR1075317,0.685,NORMAL
ERR1075318,0.7523,OTHER
ERR1075323,0.6247,NORMAL
ERR1075329,0.7357,OTHER
ERR1075330,0.7567,OTHER
ERR1075336,0.6861,NORMAL
ERR1075337,0.9339,DEVIANT
ERR1075340,0.7005,NORMAL
ERR1075342,0.7627,OTHER
ERR1075343,0.7928,OTHER
ERR1075346,0.8125,OTHER
ERR1075348,0.8065,OTHER
ERR1075350,0.7447,OTHER
ERR1075354,0.7677,OTHER
ERR1075357,0.6618,NORMAL
ERR1075359,0.6751,NORMAL
ERR1075360,0.7313,OTHER
ERR1075361,0.6875,NORMAL
ERR1075362,0.746,OTHER
ERR1075483,0.6412,NORMAL
ERR1075488,0.6973,NORMAL
ERR1075493,0.8308,OTHER
ERR1075499,0.8029,OTHER
ERR1075500,0.7862,OTHER
ERR1075501,0.713,NORMAL
ERR1075502,0.828,OTHER
ERR1075503,0.7312,OTHER
ERR1075504,0.6626,NORMAL
ERR1075513,0.8425,OTHER
ERR1075523,0.6706,NORMAL
ERR1075524,0.6633,NORMAL
ERR1075527,0.6386,NORMAL
ERR1075530,0.6327,NORMAL
